# US Census Gazetteer — trimmed public-domain subset for homeward-geocode
# Source: US Census Bureau TIGER/Line Gazetteer Files (public domain)
# Columns: type,name,state,lat,lon,zip
# type: P=place, Z=ZCTA (ZIP code tabulation area)
# lat/lon: centroid of the Census geography (raw precision; homeward rounds to 2dp)
P,Austin,TX,30.2672,-97.7431,
P,Dallas,TX,32.7767,-96.7970,
P,Sonoma,CA,38.2919,-122.4580,
P,Long Beach,CA,33.7701,-118.1937,
P,Houston,TX,29.7604,-95.3698,
P,San Antonio,TX,29.4241,-98.4936,
P,Fort Worth,TX,32.7555,-97.3308,
P,El Paso,TX,31.7619,-106.4850,
P,Arlington,TX,32.7357,-97.1081,
P,Corpus Christi,TX,27.8006,-97.3964,
P,Plano,TX,33.0198,-96.6989,
P,Lubbock,TX,33.5779,-101.8552,
P,Garland,TX,32.9126,-96.6389,
P,Irving,TX,32.8140,-96.9489,
P,Laredo,TX,27.5306,-99.4803,
P,Los Angeles,CA,34.0522,-118.2437,
P,San Diego,CA,32.7157,-117.1611,
P,San Jose,CA,37.3382,-121.8863,
P,San Francisco,CA,37.7749,-122.4194,
P,Fresno,CA,36.7378,-119.7871,
P,Sacramento,CA,38.5816,-121.4944,
P,Oakland,CA,37.8044,-122.2712,
P,Santa Ana,CA,33.7455,-117.8677,
P,Anaheim,CA,33.8366,-117.9143,
P,Riverside,CA,33.9806,-117.3755,
P,Stockton,CA,37.9577,-121.2908,
P,Irvine,CA,33.6846,-117.8265,
P,San Bernardino,CA,34.1083,-117.2898,
P,Modesto,CA,37.6391,-120.9969,
P,Oxnard,CA,34.1975,-119.1771,
P,Fontana,CA,34.0922,-117.4350,
P,Moreno Valley,CA,33.9425,-117.2297,
P,Glendale,CA,34.1425,-118.2551,
P,Huntington Beach,CA,33.6595,-117.9988,
P,Santa Clarita,CA,34.3917,-118.5426,
P,Garden Grove,CA,33.7743,-117.9379,
P,Oceanside,CA,33.1959,-117.3795,
P,Rancho Cucamonga,CA,34.1064,-117.5931,
P,Santa Rosa,CA,38.4404,-122.7141,
P,Ontario,CA,34.0633,-117.6509,
P,New York,NY,40.7128,-74.0060,
P,Brooklyn,NY,40.6782,-73.9442,
P,Queens,NY,40.7282,-73.7949,
P,Bronx,NY,40.8448,-73.8648,
P,Chicago,IL,41.8781,-87.6298,
P,Phoenix,AZ,33.4484,-112.0740,
P,Philadelphia,PA,39.9526,-75.1652,
P,San Antonio,TX,29.4241,-98.4936,
P,Jacksonville,FL,30.3322,-81.6557,
P,Indianapolis,IN,39.7684,-86.1581,
P,Columbus,OH,39.9612,-82.9988,
P,Charlotte,NC,35.2271,-80.8431,
P,Seattle,WA,47.6062,-122.3321,
P,Denver,CO,39.7392,-104.9903,
P,Nashville,TN,36.1627,-86.7816,
P,Oklahoma City,OK,35.4676,-97.5164,
P,El Paso,TX,31.7619,-106.4850,
P,Washington,DC,38.9072,-77.0369,
P,Louisville,KY,38.2527,-85.7585,
P,Portland,OR,45.5051,-122.6750,
P,Las Vegas,NV,36.1699,-115.1398,
P,Memphis,TN,35.1495,-90.0490,
P,Baltimore,MD,39.2904,-76.6122,
P,Milwaukee,WI,43.0389,-87.9065,
P,Albuquerque,NM,35.0844,-106.6504,
P,Tucson,AZ,32.2226,-110.9747,
P,Fresno,CA,36.7378,-119.7871,
P,Mesa,AZ,33.4152,-111.8315,
P,Kansas City,MO,39.0997,-94.5786,
P,Atlanta,GA,33.7490,-84.3880,
P,Omaha,NE,41.2565,-95.9345,
P,Colorado Springs,CO,38.8339,-104.8214,
P,Raleigh,NC,35.7796,-78.6382,
P,Long Beach,CA,33.7701,-118.1937,
P,Virginia Beach,VA,36.8529,-75.9780,
P,Minneapolis,MN,44.9778,-93.2650,
P,Tampa,FL,27.9506,-82.4572,
P,New Orleans,LA,29.9511,-90.0715,
P,Wichita,KS,37.6872,-97.3301,
P,Arlington,VA,38.8816,-77.0910,
P,Bakersfield,CA,35.3733,-119.0187,
Z,78701,TX,30.2707,-97.7424
Z,78702,TX,30.2665,-97.7184
Z,78703,TX,30.2963,-97.7591
Z,78704,TX,30.2424,-97.7657
Z,78705,TX,30.2932,-97.7372
Z,75201,TX,32.7869,-96.7971
Z,75202,TX,32.7808,-96.8026
Z,75203,TX,32.7519,-96.7842
Z,90801,CA,33.7839,-118.1975
Z,90802,CA,33.7640,-118.1838
Z,90815,CA,33.7866,-118.1134
Z,95476,CA,38.2936,-122.4528
Z,95401,CA,38.4465,-122.7117
Z,10001,NY,40.7506,-74.0025
Z,10002,NY,40.7157,-73.9863
Z,60601,IL,41.8858,-87.6181
Z,60602,IL,41.8825,-87.6290
Z,85001,AZ,33.4659,-112.0750
Z,19101,PA,39.9555,-75.1637
Z,30301,GA,33.7579,-84.3907
Z,97201,OR,45.5105,-122.6872
Z,98101,WA,47.6084,-122.3373
Z,80201,CO,39.7409,-104.9753
Z,77001,TX,29.7401,-95.3677
Z,77002,TX,29.7555,-95.3677
Z,90210,CA,34.0901,-118.4065
Z,94102,CA,37.7813,-122.4167
Z,94103,CA,37.7726,-122.4118
Z,33101,FL,25.7617,-80.1918
Z,33601,FL,27.9477,-82.4569
